Numero;Date;Rain;Tmin;Tmax
97415566;2011-01-01;0.2;9.7;17.2
97415566;2011-01-02;0.4;9.6;16.9
97415566;2011-01-03;1.6;10.2;18.1
97415566;2011-01-04;28;9.6;14.5
97415566;2011-01-05;18.2;10;14.6
97415566;2011-01-06;41.4;10.3;15.1
97415566;2011-01-07;0.8;10.5;15.2
97415566;2011-01-08;11.2;9.6;15.7
97415566;2011-01-09;0.2;10.3;16
97415566;2011-01-10;2.6;12;16.6
97415566;2011-01-11;0.6;11.2;16
97415566;2011-01-12;3;11.3;17.3
97415566;2011-01-13;0;11.5;16.5
97415566;2011-01-14;0;11.4;19.1
97415566;2011-01-15;0;12.2;18.6
97415566;2011-01-16;0.2;13;18.7
97415566;2011-01-17;14;11.4;16.5
97415566;2011-01-18;0.8;10.6;14.5
97415566;2011-01-19;0;9.7;15.2
97415566;2011-01-20;0.4;10.4;15.2
97415566;2011-01-21;21.6;10.6;15.2
97415566;2011-01-22;5.6;11.3;14.9
97415566;2011-01-23;0;10.1;16.5
97415566;2011-01-24;19.2;11.5;14.9
97415566;2011-01-25;1.2;11;16.1
97415566;2011-01-26;0.2;11.9;18.8
97415566;2011-01-27;70.4;11.6;17.4
97415566;2011-01-28;110.4;12.9;14.7
97415566;2011-01-29;205;12.5;14.3
97415566;2011-01-30;113;12.7;14.5
97415566;2011-01-31;0;12.5;16.2
97415566;2011-02-01;1.6;12.5;18.6
97415566;2011-02-02;6.2;12.4;16.4
97415566;2011-02-03;17.2;12.4;16.6
97415566;2011-02-04;5.8;12.2;16.7
97415566;2011-02-05;0;12.7;17.6
97415566;2011-02-06;0;13.1;19.6
97415566;2011-02-07;7.6;12.2;16.3
97415566;2011-02-08;0;11.8;17.6
97415566;2011-02-09;0.8;11.9;18.1
97415566;2011-02-10;0;11.9;16.8
97415566;2011-02-11;15.6;11.9;18.6
97415566;2011-02-12;29.4;12.9;18.4
97415566;2011-02-13;0.4;12.2;15.8
97415566;2011-02-14;8.8;11.1;14.5
97415566;2011-02-15;0;11.6;19.3
97415566;2011-02-16;0.2;13;19.5
97415566;2011-02-17;2.8;13;17
97415566;2011-02-18;5;12.6;17
97415566;2011-02-19;5.4;13.3;16.9
97415566;2011-02-20;0;13.7;18.5
97415566;2011-02-21;0;13.5;18.1
97415566;2011-02-22;0;13.3;20.3
97415566;2011-02-23;0.2;12.9;18.7
97415566;2011-02-24;37;12.6;16.3
97415566;2011-02-25;3.4;13.2;17.5
97415566;2011-02-26;0.4;13.2;18.7
97415566;2011-02-27;0;13.4;19.7
97415566;2011-02-28;0;13;18.7
97415566;2011-03-01;0;12.1;20.4
97415566;2011-03-02;0;11.6;17.8
97415566;2011-03-03;9.6;11.9;16.6
97415566;2011-03-04;0.6;11;15.6
97415566;2011-03-05;21;11.6;16.1
97415566;2011-03-06;0;11.1;16.3
97415566;2011-03-07;0.2;11.1;17.3
97415566;2011-03-08;0;12;18.1
97415566;2011-03-09;0;11.8;18.3
97415566;2011-03-10;8;12.6;18.1
97415566;2011-03-11;0.2;12.9;16.8
97415566;2011-03-12;0;11.3;16.9
97415566;2011-03-13;0;11.4;18.1
97415566;2011-03-14;3.2;12.3;17
97415566;2011-03-15;0.2;10.9;15.9
97415566;2011-03-16;0.4;11.2;16.6
97415566;2011-03-17;0.2;9.5;15.6
97415566;2011-03-18;0.4;9.4;15.5
97415566;2011-03-19;0;10;16
97415566;2011-03-20;0;11.6;17.7
97415566;2011-03-21;1.6;13.1;18.2
97415566;2011-03-22;0;12.8;18.4
97415566;2011-03-23;0;13.4;17.2
97415566;2011-03-24;0;13;17.8
97415566;2011-03-25;0;11.9;17.3
97415566;2011-03-26;33;11.7;19.4
97415566;2011-03-27;1.2;12.5;17.2
97415566;2011-03-28;2.8;12.6;16.2
97415566;2011-03-29;0.4;11.6;16.6
97415566;2011-03-30;0;11.5;16.3
97415566;2011-03-31;0.2;11.7;17.3
97415566;2011-04-01;13.6;11.3;16.9
97415566;2011-04-02;0;11.8;17.7
97415566;2011-04-03;0.6;10.8;15.5
97415566;2011-04-04;1.4;11;16.9
97415566;2011-04-05;0;11.6;16.5
97415566;2011-04-06;0;10.7;16.9
97415566;2011-04-07;0.2;11.1;18.5
97415566;2011-04-08;5.6;12.1;18.6
97415566;2011-04-09;8.4;12.1;15.7
97415566;2011-04-10;0.2;10.8;17.2
97415566;2011-04-11;0;10.1;16.2
97415566;2011-04-12;0;10.5;17.1
97415566;2011-04-13;0;11.2;17.7
97415566;2011-04-14;2.4;11;16.7
97415566;2011-04-15;3;10.5;14.6
97415566;2011-04-16;0;11.8;16.5
97415566;2011-04-17;13.4;10.4;20
97415566;2011-04-18;12.6;11.2;15.3
97415566;2011-04-19;0.4;10.7;15.3
97415566;2011-04-20;0.2;9.2;15.8
97415566;2011-04-21;8.2;11;15.5
97415566;2011-04-22;0;10.8;15.5
97415566;2011-04-23;0;11;17
97415566;2011-04-24;1.2;11;16
97415566;2011-04-25;0.2;11.5;15
97415566;2011-04-26;21;11;16.3
97415566;2011-04-27;0.6;11.5;15.1
97415566;2011-04-28;0;11;15.3
97415566;2011-04-29;0;10.3;15.5
97415566;2011-04-30;0;10.4;16.1
97415566;2011-05-01;0;10.3;18.4
97415566;2011-05-02;0;10.8;17.2
97415566;2011-05-03;5.8;10.7;15.4
97415566;2011-05-04;11;9.5;15.6
97415566;2011-05-05;0.2;10.5;15.7
97415566;2011-05-06;5.4;10.3;14.7
97415566;2011-05-07;13.8;9.6;14.6
97415566;2011-05-08;0;9.4;15.3
97415566;2011-05-09;5;9.7;14.7
97415566;2011-05-10;9.8;8.7;14.5
97415566;2011-05-11;10;9.7;13.5
97415566;2011-05-12;0;10.3;14.5
97415566;2011-05-13;0;9.7;14.4
97415566;2011-05-14;4.2;8.3;12.7
97415566;2011-05-15;6;8;14.1
97415566;2011-05-16;0;8.6;14.4
97415566;2011-05-17;0;9.3;14.5
97415566;2011-05-18;4.2;8.4;12.9
97415566;2011-05-19;0;8;14.8
97415566;2011-05-20;0;8.7;15.4
97415566;2011-05-21;0;9.8;16.2
97415566;2011-05-22;0;10.7;15.2
97415566;2011-05-23;0;10;15.3
97415566;2011-05-24;0;10;14.6
97415566;2011-05-25;0.2;9;13.8
97415566;2011-05-26;1.6;8.7;15.2
97415566;2011-05-27;0;8.5;15
97415566;2011-05-28;0;10.8;17.9
97415566;2011-05-29;0;9.5;15.9
97415566;2011-05-30;0;9.3;15.9
97415566;2011-05-31;0;9.3;15.2
97415566;2011-06-01;0;8.8;15.7
97415566;2011-06-02;0;8.4;13.7
97415566;2011-06-03;0;7.5;13.7
97415566;2011-06-04;0.2;7.6;14.2
97415566;2011-06-05;0.2;8;13.6
97415566;2011-06-06;0;7.4;13.2
97415566;2011-06-07;0.2;7.5;13.4
97415566;2011-06-08;0;7.5;13.7
97415566;2011-06-09;0;7.6;14.5
97415566;2011-06-10;0;9.4;15.1
97415566;2011-06-11;0;7.3;15.9
97415566;2011-06-12;64.6;7.6;13.2
97415566;2011-06-13;39.4;7.5;11.1
97415566;2011-06-14;19.8;7.5;11.8
97415566;2011-06-15;0.2;8.2;13.1
97415566;2011-06-16;0.6;9;13.8
97415566;2011-06-17;0.2;9.5;13.9
97415566;2011-06-18;6.2;9.2;15.7
97415566;2011-06-19;0;7.1;13.6
97415566;2011-06-20;0.2;5.2;11.2
